_year	_age	sex	prob
1961	78	1	.913519
1961	79	1	.899614
1961	80	1	.895697
1961	81	1	.874129
1961	82	1	.866765
1961	83	1	.852483
1961	84	1	.834306
1961	85	1	.823417
1961	86	1	.803526
1961	87	1	.795783
1961	88	1	.76933
1961	89	1	.73471
1961	90	1	.698731
1961	91	1	.68737
1961	92	1	.686957
1961	93	1	.619643
1961	94	1	.626812
1961	95	1	.576655
1961	96	1	.488024
1961	97	1	.598015
1961	98	1	.533074
1961	99	1	.414634
1961	100	1	.432432
1961	101	1	.428571
1961	102	1	.7
1961	103	1	0
1961	104	1	0
1961	105	1	0
1961	106	1	0
1961	107	1	0
1961	108	1	0
1961	109	1	0
1961	110	1	0
1961	0	2	.985997
1961	1	2	.999134
1961	2	2	.999423
1961	3	2	.999471
1961	4	2	.999261
1961	5	2	.999553
1961	6	2	.999588
1961	7	2	.999747
1961	8	2	.999638
1961	9	2	.999638
1961	10	2	.999683
1961	11	2	.999769
1961	12	2	.999882
1961	13	2	.99964
1961	14	2	.999647
1961	15	2	.999716
1961	16	2	.999638
1961	17	2	.999629
1961	18	2	.999654
1961	19	2	.999616
1961	20	2	.999625
1961	21	2	.999391
1961	22	2	.999557
1961	23	2	.999497
1961	24	2	.999596
1961	25	2	.999561
1961	26	2	.99948
1961	27	2	.999407
1961	28	2	.999212
1961	29	2	.999192
1961	30	2	.999384
1961	31	2	.999278
1961	32	2	.999331
1961	33	2	.999256
1961	34	2	.999201
1961	35	2	.999249
1961	36	2	.999133
1961	37	2	.9989
1961	38	2	.998846
1961	39	2	.998863
1961	40	2	.998669
1961	41	2	.998889
1961	42	2	.998498
1961	43	2	.997873
1961	44	2	.998153
1961	45	2	.997384
1961	46	2	.997036
1961	47	2	.99724
1961	48	2	.996992
1961	49	2	.996565
1961	50	2	.996259
1961	51	2	.995961
1961	52	2	.995599
1961	53	2	.995327
1961	54	2	.994699
1961	55	2	.99442
1961	56	2	.994718
1961	57	2	.9932
1961	58	2	.992695
1961	59	2	.991446
1961	60	2	.99169
1961	61	2	.989872
1961	62	2	.989433
1961	63	2	.98732
1961	64	2	.985918
1961	65	2	.984873
1961	66	2	.98238
1961	67	2	.980626
1961	68	2	.978699
1961	69	2	.975188
1961	70	2	.969579
1961	71	2	.968428
1961	72	2	.963645
1961	73	2	.957783
1961	74	2	.95471
1961	75	2	.949335
1961	76	2	.941773
1961	77	2	.929914
1961	78	2	.924827
1961	79	2	.911906
1961	80	2	.905724
1961	81	2	.89706
1961	82	2	.876628
1961	83	2	.867715
1961	84	2	.846217
1961	85	2	.845439
1961	86	2	.812878
1961	87	2	.801541
1961	88	2	.788726
1961	89	2	.761069
1961	90	2	.759032
1961	91	2	.739457
1961	92	2	.739322
1961	93	2	.679979
1961	94	2	.657143
1961	95	2	.627863
1961	96	2	.564063
1961	97	2	.478599
1961	98	2	.665289
1961	99	2	.790476
1961	100	2	.267442
1961	101	2	.217391
1961	102	2	.318182
1961	103	2	.181818
1961	104	2	0
1961	105	2	0
1961	106	2	0
1961	107	2	0
1961	108	2	0
1961	109	2	0
1961	110	2	0
1962	0	1	.98195
1962	1	1	.998853
1962	2	1	.998934
1962	3	1	.999272
1962	4	1	.999498
1962	5	1	.999359
1962	6	1	.999544
1962	7	1	.999387
1962	8	1	.999615
1962	9	1	.999659
1962	10	1	.999586
1962	11	1	.999648
1962	12	1	.999715
1962	13	1	.999613
1962	14	1	.999547
1962	15	1	.999284
1962	16	1	.999359
1962	17	1	.999213
1962	18	1	.998987
1962	19	1	.998828
1962	20	1	.998756
1962	21	1	.998984
1962	22	1	.998749
1962	23	1	.999002
1962	24	1	.998945
1962	25	1	.998958
1962	26	1	.998976
1962	27	1	.999065
1962	28	1	.999007
1962	29	1	.998547
1962	30	1	.998914
1962	31	1	.998822
1962	32	1	.999113
1962	33	1	.998358
1962	34	1	.99872
1962	35	1	.998445
1962	36	1	.998279
1962	37	1	.99856
1962	38	1	.998137
1962	39	1	.99812
1962	40	1	.997987
1962	41	1	.997579
1962	42	1	.997647
1962	43	1	.997029
1962	44	1	.996935
1962	45	1	.996705
1962	46	1	.996662
1962	47	1	.995819
1962	48	1	.995876
1962	49	1	.995359
1962	50	1	.994059
1962	51	1	.994666
1962	52	1	.993865
1962	53	1	.992495
1962	54	1	.992113
1962	55	1	.990582
1962	56	1	.99068
1962	57	1	.988835
1962	58	1	.988845
1962	59	1	.986628
1962	60	1	.984839
1962	61	1	.983604
1962	62	1	.98113
1962	63	1	.979322
1962	64	1	.976253
1962	65	1	.975537
1962	66	1	.971147
1962	67	1	.969545
1962	68	1	.966924
1962	69	1	.96198
1962	70	1	.959572
1962	71	1	.953167
1962	72	1	.949511
1962	73	1	.944336
1962	74	1	.940538
1962	75	1	.931174
1962	76	1	.923008
1962	77	1	.913574
1962	78	1	.903131
1962	79	1	.896452
1962	80	1	.886577
1962	81	1	.877833
1962	82	1	.855358
1962	83	1	.854901
1962	84	1	.83392
1962	85	1	.812196
1962	86	1	.78895
1962	87	1	.771808
1962	88	1	.749728
1962	89	1	.710418
1962	90	1	.701403
1962	91	1	.726565
1962	92	1	.657935
1962	93	1	.633347
1962	94	1	.573123
1962	95	1	.548913
1962	96	1	.452282
1962	97	1	.401535
1962	98	1	.25641
1962	99	1	.684211
1962	100	1	.594595
1962	101	1	.142857
1962	102	1	0
1962	103	1	0
1962	104	1	0
1962	105	1	0
1962	106	1	0
1962	107	1	0
1962	108	1	0
1962	109	1	0
1962	110	1	0
1962	0	2	.986582
1962	1	2	.999055
1962	2	2	.999316
1962	3	2	.999324
1962	4	2	.999628
1962	5	2	.999534
1962	6	2	.999417
1962	7	2	.999667
1962	8	2	.999689
1962	9	2	.999715
1962	10	2	.999543
1962	11	2	.999739
1962	12	2	.999716
1962	13	2	.999714
1962	14	2	.999788
1962	15	2	.999649
1962	16	2	.999608
1962	17	2	.999734
1962	18	2	.999631
1962	19	2	.999604
1962	20	2	.999599
1962	21	2	.99971
1962	22	2	.999707
1962	23	2	.999558
1962	24	2	.999454
1962	25	2	.999462
1962	26	2	.999516
1962	27	2	.999434
1962	28	2	.99936
1962	29	2	.999328
1962	30	2	.999327
1962	31	2	.999451
1962	32	2	.999278
1962	33	2	.999245
1962	34	2	.999214
1962	35	2	.999055
1962	36	2	.999047
1962	37	2	.998857
1962	38	2	.998649
1962	39	2	.998808
1962	40	2	.998628
1962	41	2	.99855
1962	42	2	.99792
1962	43	2	.998338
1962	44	2	.997636
1962	45	2	.998228
1962	46	2	.997868
1962	47	2	.996992
1962	48	2	.997611
1962	49	2	.996497
1962	50	2	.996178
1962	51	2	.99638
1962	52	2	.995474
1962	53	2	.995561
1962	54	2	.995112
1962	55	2	.99525
1962	56	2	.994047
1962	57	2	.993688
1962	58	2	.992253
1962	59	2	.991703
1962	60	2	.991334
1962	61	2	.991142
1962	62	2	.989892
1962	63	2	.986888
1962	64	2	.985358
1962	65	2	.984405
1962	66	2	.9823
1962	67	2	.979598
1962	68	2	.978586
1962	69	2	.9767
1962	70	2	.971777
1962	71	2	.967513
1962	72	2	.964306
1962	73	2	.958533
1962	74	2	.950772
1962	75	2	.946813
1962	76	2	.940293
1962	77	2	.935115
1962	78	2	.920539
1962	79	2	.916944
1962	80	2	.900369
1962	81	2	.889318
1962	82	2	.877785
1962	83	2	.867529
1962	84	2	.843585
1962	85	2	.838154
1962	86	2	.825458
1962	87	2	.796114
1962	88	2	.780657
1962	89	2	.754035
1962	90	2	.731327
1962	91	2	.690848
1962	92	2	.69241
1962	93	2	.658438
1962	94	2	.661255
1962	95	2	.616162
1962	96	2	.600849
1962	97	2	.626374
1962	98	2	.504912
1962	99	2	.344371
1962	100	2	.633803
1962	101	2	.44898
1962	102	2	0
1962	103	2	0
1962	104	2	0
1962	105	2	0
1962	106	2	0
1962	107	2	0
1962	108	2	0
1962	109	2	0
1962	110	2	0
1963	0	1	.981917
1963	1	1	.998957
1963	2	1	.999046
1963	3	1	.999468
1963	4	1	.999459
1963	5	1	.999294
1963	6	1	.999433
1963	7	1	.999435
1963	8	1	.999536
1963	9	1	.999652
1963	10	1	.999605
1963	11	1	.999586
1963	12	1	.999631
1963	13	1	.999681
1963	14	1	.999582
1963	15	1	.999376
1963	16	1	.999362
1963	17	1	.999109
1963	18	1	.998848
1963	19	1	.998584
1963	20	1	.998888
1963	21	1	.998861
1963	22	1	.998605
1963	23	1	.998904
1963	24	1	.998993
1963	25	1	.998913
1963	26	1	.999052
1963	27	1	.999115
1963	28	1	.998707
1963	29	1	.998665
1963	30	1	.998687
1963	31	1	.998674
1963	32	1	.999151
1963	33	1	.998574
1963	34	1	.998658
1963	35	1	.998679
1963	36	1	.998425
1963	37	1	.998178
1963	38	1	.998131
1963	39	1	.998041
1963	40	1	.997951
1963	41	1	.997806
1963	42	1	.997974
1963	43	1	.997397
1963	44	1	.997411
1963	45	1	.996406
1963	46	1	.996368
1963	47	1	.996768
1963	48	1	.995462
1963	49	1	.995094
1963	50	1	.995023
1963	51	1	.994717
1963	52	1	.994017
1963	53	1	.993338
1963	54	1	.992003
1963	55	1	.9911
1963	56	1	.990904
1963	57	1	.988791
1963	58	1	.988163
1963	59	1	.986013
1963	60	1	.984391
1963	61	1	.982542
1963	62	1	.981675
1963	63	1	.979171
1963	64	1	.977794
1963	65	1	.975692
1963	66	1	.973099
1963	67	1	.972603
1963	68	1	.968356
1963	69	1	.962344
1963	70	1	.960853
1963	71	1	.954668
1963	72	1	.951092
1963	73	1	.947869
1963	74	1	.939551
1963	75	1	.931542
1963	76	1	.926518
1963	77	1	.917274
1963	78	1	.90903
1963	79	1	.90058
1963	80	1	.887505
1963	81	1	.875707
1963	82	1	.853707
1963	83	1	.846085
1963	84	1	.832488
1963	85	1	.818558
1963	86	1	.802851
1963	87	1	.783278
1963	88	1	.763389
1963	89	1	.737792
1963	90	1	.715654
1963	91	1	.664017
1963	92	1	.622496
1963	93	1	.586677
1963	94	1	.599258
1963	95	1	.553257
1963	96	1	.41374
1963	97	1	.58042
1963	98	1	.428571
1963	99	1	.4
1963	100	1	.533333
1963	101	1	.142857
1963	102	1	0
1963	103	1	0
1963	104	1	0
1963	105	1	0
1963	106	1	0
1963	107	1	0
1963	108	1	0
1963	109	1	0
1963	110	1	0
1963	0	2	.986378
1963	1	2	.999195
1963	2	2	.999499
1963	3	2	.999478
1963	4	2	.999563
1963	5	2	.999648
1963	6	2	.999651
1963	7	2	.999728
1963	8	2	.999746
1963	9	2	.999767
1963	10	2	.999734
1963	11	2	.99981
1963	12	2	.99974
1963	13	2	.999611
1963	14	2	.999765
1963	15	2	.999529
1963	16	2	.999524
1963	17	2	.999548
1963	18	2	.999487
1963	19	2	.999505
1963	20	2	.999623
1963	21	2	.999563
1963	22	2	.999485
1963	23	2	.999646
1963	24	2	.999434
1963	25	2	.999565
1963	26	2	.999575
1963	27	2	.999241
1963	28	2	.999341
1963	29	2	.99929
1963	30	2	.99926
1963	31	2	.999126
1963	32	2	.999253
1963	33	2	.999148
1963	34	2	.999159
1963	35	2	.999214
1963	36	2	.999139
1963	37	2	.998925
1963	38	2	.998837
1963	39	2	.998803
1963	40	2	.998807
1963	41	2	.998447
1963	42	2	.998583
1963	43	2	.998116
1963	44	2	.9978
1963	45	2	.99734
1963	46	2	.997562
1963	47	2	.997472
1963	48	2	.996909
1963	49	2	.99619
1963	50	2	.996862
1963	51	2	.996015
1963	52	2	.995908
1963	53	2	.995322
1963	54	2	.995162
1963	55	2	.994134
1963	56	2	.993706
1963	57	2	.993787
1963	58	2	.99264
1963	59	2	.991955
1963	60	2	.991813
